NiceForNow Configuration,Tất Cả
New Dynamic Block,Khối Dynamic Mới
Dynamic Block Default Content for All Store Views,Nội dung mặc định của khối Dynamic cho tất cả hiển thị cửa hàng
Dynamic Block Properties,Khối Dynamic Properties
Dynamic Block Name,Tên Khối Dynamic
Any Dynamic Block Type,Bất kỳ loại khối Dynamic
Specified Dynamic Block Types,Chỉ định loại khối Dynamic
Dynamic Block Information,Thông tin khối Dynamic
Dynamic Block,Khối Dynamic
Dynamic Block Type,Loại Khối Dynamic
Are you sure you want to delete these dynamic blocks?,Bạn muốn xóa các khối dynamic này không?
Related Dynamic Blocks,Các khối dynamic liên quan
You deleted the dynamic block.,Bạn đã xóa khối dynamic.
Something went wrong while deleting dynamic block data. Please review the action log and try again.,phát sinh vấn đề khi xóa dữ liệu khối dynamic. Vui lòng xem lại nhật ký hành động và thử lại.
We cannot find a dynamic block to delete.,Không thể tìm thấy một khối dynamic để xóa.
This dynamic block no longer exists.,Khối dynamic đã được xóa.
Edit Dynamic Block,Chỉnh sửa khối dynamic
Please select a dynamic block(s).,Vui lòng chọn (các) khối dynamic.
Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.,Phát sinh vấn đề khi xóa hàng loạt khối dynamic. Vui lòng xem lại nhật ký hành động và thử lại.
This dynamic block does not exist.,Khối dynamic không tồn tại.
You saved the dynamic block.,Bạn đã lưu khối dynamic.
We cannot save the dynamic block.,Không thể lưu khối dynamic.
Manage Dynamic Blocks,Quản lý các khối dynamic
Dynamic Blocks Rotator,Công cụ chuyển đổi khối dynamic
Displays Specified or Promotion Dynamic Blocks,Hiển thị các khối dynamic được chỉ định hoặc quảng cáo
Dynamic Blocks to Display,Khối dynamic để hiển thị
Specified Dynamic Blocks,Các khối dynamic được chỉ định
Restrict by Dynamic Block Types,Hạn chế theo các loại khối dynamic
Specify Dynamic Blocks,Chỉ định khối dynamic
Dynamic Block Template,Mẫu khối dynamic
Dynamic Block Inline Template,Mẫu khối dynamic Inline
Status Label,Nhãn trạng thái
Enable Dynamic Block,Kích Hoạt khối dynamic
Cart price rules allows you to setup promotions for items that are in the shopping cart.,Quy tắc giá giỏ hàng cho phép bạn thiết lập khuyến mãi cho các mặt hàng có trong giỏ hàng.
Add Cart Price Rules,Thêm quy tắc giá giỏ hàng
Related Catalog Price Rule,Quy tắc giá danh mục liên quan
Catalog price rules allows you to setup promotions for an items in catalog.,Quy tắc giá trong danh mục cho phép bạn thiết lập các chương trình khuyến mại cho một mặt hàng trong danh mục.
Add Selected,Thêm lựa chọn
Make sure that dynamic blocks rotator does not reference the dynamic block itself.,Đảm bảo rằng trình quay vòng khối dynamic không tham chiếu chính khối dynamic.
Cart Price Rule Related,Liên quan đến Quy tắc giá giỏ hàng
Catalog Price Rule Related,Quy tắc giá danh mục sản phẩm liên quan
All Segments,Tất cả các phân đoạn
Customer Segment,Bộ phận khách hàng
Allowed Credit Card Types,Các loại thẻ tín dụng được cho phép
Braintree Settlement Report,Báo cáo quyết toán Braintree
"Sorry, but something went wrong","Xin lỗi, nhưng có gì đó đã đi sai"
We can't initialize checkout.,Không thể khởi tạo thanh toán.
No authorization transaction to proceed capture.,Không có giao dịch ủy quyền để tiến hành chụp.
Transaction is successful.,Giao dịch thành công.
Braintree error response.,Phản hồi lỗi Braintree.
Payment method nonce can't be retrieved.,Không thể truy xuất phương thức thanh toán nonce.
Wrong transaction status,Trạng thái giao dịch không hợp lệ
Credit Card,Thẻ tín dụng
ending,kết thúc
expires,hết hạn
PayPal,PayPal
Please agree to all the terms and conditions before placing the order.,Hãy đồng ý với tất cả các điều khoản và điều kiện trước khi đặt các đơn đặt hàng.
Transaction was failed.,Giao dịch thất bại.
"Please, enter valid Credit Card Number",Vui lòng nhập số thẻ tín dụng hợp lệ
"Please, enter valid Expiration Date",Vui lòng nhập Ngày hết hạn hợp lệ
"Please, enter valid Card Verification Number",Vui lòng nhập Số xác minh thẻ hợp lệ
Are you sure you want to delete this PayPal account,Bạn muốn xóa tài khoản Paypal
PayPal Account,Tài khoản PayPal
PayPal Logo,PayPal Logo
Credit Card Information,Thông tin thẻ tín dụng
Save for later use.,Lưu để sử dụng sau.
This payment is not available,Thanh toán này không có sẵn
MM,MM
YY,YY
Please try again with another form of payment.,Vui lòng thử lại với một hình thức thanh toán khác.
"Sorry, but something went wrong.","Xin lỗi, phát sinh vấn đề khi xử lý."
Payment ,Thanh toán
Credit card type is not accepted by this merchant account.,Loại thẻ tín dụng không được chấp nhận bởi các tài khoản thương gia này.
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Giao dịch chỉ có thể bị hủy bỏ nếu trạng thái được ủy quyền, submitted_for_settlement, hoặc - for PayPal - settlement_pending"
Credit transactions cannot be refunded.,Các giao dịch tín dụng không thể được hoàn lại.
Cannot refund a transaction unless it is settled.,Không thể hoàn trả lại một giao dịch trừ khi nó được giải quyết.
Cannot submit for settlement unless status is authorized.,"Không thể gửi để giải quyết, trừ khi trạng thái được ủy quyền."
Customer does not have any credit cards.,Khách hàng không có thẻ tín dụng.
Transaction has already been completely refunded.,Giao dịch đã được hoàn lại hoàn toàn.
Payment instrument type is not accepted by this merchant account.,Tài khoản người bán này không chấp nhận loại công cụ thanh toán.
Processor authorization code cannot be set unless for a voice authorization.,Bộ vi xử lý mã uỷ quyền không thể đặt trừ khi cho phép giọng nói ủy quyền.
Refund amount is too large.,Số tiền hoàn lại quá lớn.
Settlement amount is too large.,Số tiền thanh toán quá lớn.
Cannot provide a billing address unless also providing a credit card.,Không thể cung cấp một địa chỉ thanh toán trừ khi cũng cung cấp một thẻ tín dụng.
Cannot refund a transaction with a suspended merchant account.,Không thể hoàn tiền cho giao dịch có tài khoản người bán bị tạm ngưng.
Merchant account does not support refunds.,Tài khoản người bán không hỗ trợ hoàn lại tiền.
Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.,Không thể hoàn trả một giao dịch giao dịch trong trạng thái giải quyết trên tài khoản người bán này. Hãy thử lại sau khi giao dịch đã kết thúc.
PayPal is not enabled for your merchant account.,PayPal không được kích hoạt cho tài khoản người bán của bạn.
Partial settlements are not supported by this processor.,Bộ xử lý này không hỗ trợ giải quyết từng phần.
Cannot submit for partial settlement.,Không thể gửi để giải quyết một phần.
Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.,Giao dịch không thể bị vô hiệu nếu trạng thái của giao dịch con thanh toán một phần PayPal là settlement_pending.
Too many concurrent attempts to refund this transaction. Try again later.,Quá nhiều lần đồng thời để hoàn trả giao dịch này. Thử lại sau.
Too many concurrent attempts to void this transaction. Try again later.,Quá nhiều lần làm vô hiệu giao dịch này. Thử lại sau.
Braintree,Cổng Thanh Toán Braintree
Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.,Chấp nhận thẻ tín dụng/ghi nợ và PayPal ở cửa hàng Magento của bạn.<br/>không có lệ phí thiết lập hoặc hàng tháng và khách hàng tự hoàn tất việc mua hàng.
Enable this Solution,Kích hoạt giải pháp này
Enable PayPal through Braintree,Bật Cổng Thanh Toán PayPal qua Braintree
Vault Enabled,Vault đã được bật
Basic Braintree Settings,Cấu Hình Braintree Cơ Bản
Public Key,Mã Khóa Công Khai
Private Key,Mã Khóa Cá Nhân
Advanced Braintree Settings,Cấu Hình Braintree Nâng Cao
Vault Title,Tiêu đề Vault
Merchant Account ID,Mã Nhận Diện Tài Khoản Người Bán
Advanced Fraud Protection,Chống Gian Lận Nâng Cao
Kount Merchant ID,Kount Merchant ID
CVV Verification,Yêu Cầu Xác Nhận Mã Bảo Mật CVV
Country Specific Settings,Cấu Hình Quốc Gia Cụ Thể
Country Specific Credit Card Types,Các Loại Thẻ Tín Dụng theo Quốc Gia
PayPal through Braintree,Dùng PayPal qua Braintree
Override Merchant Name,Ghi Đè Tên Người Bán
Require Customer's Billing Address,Yêu cầu địa chỉ thanh toán của khách hàng
Allow to Edit Shipping Address Entered During Checkout on PayPal Side,Cho Phép Thay Đổi Địa Chỉ Giao Hàng Đã Nhập Khi Đang Thanh Toán trên cCổng PayPal
Display on Shopping Cart,Hiển thị trên Giỏ hàng
Skip Order Review,Bỏ qua xem lại đơn đặt hàng
3D Secure Verification Settings,Cấu Hình Xác Nhận Cổng Thanh Toán 3D Secure
3D Secure Verification,Xác Nhận Cổng Thanh Toán 3D Secure
Threshold Amount,Số tiền giới hạn
Verify for Applicable Countries,Xác minh cho các quốc gia áp dụng
Verify for Specific Countries,Xác minh cho các quốc gia cụ thể
Dynamic Descriptors,Mô tả động
Phone,Điện thoại
CVV is required.,CVV là bắt buộc.
CVV must be 4 digits for American Express and 3 digits for other card types.,CVV phải có 4 chữ số đối với American Express và 3 chữ số đối với các loại thẻ khác.
Expiration date is required.,Ngày hết hạn là bắt buộc.
Expiration date is invalid.,Ngày hết hạn là không hợp lệ.
Expiration year is invalid. It must be between 1975 and 2201.,Năm hết hạn không hợp lệ. Nó phải là từ năm 1975 đến năm 2201.
Expiration month is invalid.,Tháng hết hạn là không hợp lệ.
Expiration year is invalid.,Năm hết hạn là không hợp lệ.
Credit card number is required.,Số thẻ tín dụng là cần thiết.
Credit card number is invalid.,Số thẻ tín dụng không hợp lệ.
Credit card number must be 12-19 digits.,Số thẻ tín dụng phải có 12-19 chữ số.
Cardholder name is too long.,Tên chủ thẻ là quá dài.
CVV verification failed.,Xác minh CVV không thành công.
Postal code verification failed.,Xác minh mã bưu chính không thành công.
Credit card number is prohibited.,Thẻ tín dụng này bị cấm.
Addresses must have at least one field filled in.,Địa chỉ phải có ít nhất một trường được điền.
Company is too long.,Tên công ty quá dài.
Extended address is too long.,Mở rộng địa chỉ là quá dài.
First name is too long.,Tên là quá dài.
Last name is too long.,Họ là quá dài.
Locality is too long.,Địa phương là quá dài.
Postal code is required.,Mã số bưu chính là bắt buộc.
Postal code may contain no more than 9 letter or number characters.,Mã bưu chính có thể chứa không quá 9 chữ cái hoặc ký tự.
Region is too long.,Khu vực này là quá dài.
Street address is required.,Địa chỉ đường phố là bắt buộc.
Street address is too long.,Địa chỉ đường phố là quá dài.
"Postal code can only contain letters, numbers, spaces, and hyphens.","Mã số bưu chính chỉ có thể chứa chữ cái, số, dấu cách và dấu gạch ngang."
US state codes must be two characters to meet PayPal Seller Protection requirements.,Mã tiểu bang của Hoa Kỳ phải có hai ký tự để đáp ứng các yêu cầu Bảo vệ người bán của PayPal.
Incomplete PayPal account information.,Thông tin tài khoản PayPal không đầy đủ.
Invalid PayPal account information.,Thông tin tài khoản PayPal không hợp lệ.
PayPal Accounts are not accepted by this merchant account.,Tài khoản PayPal không được tài khoản người bán này chấp nhận.
Billing address format is invalid.,Định dạng địa chỉ thanh toán không hợp lệ.
Country name is not an accepted country.,Tên quốc gia không phải là một quốc gia được chấp nhận.
Country code is not accepted. Please contact the store administrator.,Mã quốc gia không được chấp nhận. Vui lòng liên hệ với quản trị viên cửa hàng.
Provided country information is inconsistent.,Thông tin quốc gia được cung cấp không nhất quán.
Customer has already reached the maximum of 50 addresses.,Khách hàng đã đạt đến tối đa 50 địa chỉ.
Address is invalid. Please contact the store administrator.,Địa chỉ không hợp lệ. Vui lòng liên hệ với quản trị viên cửa hàng.
Error communicating with PayPal.,Lỗi khi kết nối với PayPal.
PayPal authentication expired.,Xác thực PayPal đã hết hạn.
Error executing PayPal order.,Lỗi khi thực hiện đơn đặt hàng PayPal.
Error executing PayPal billing agreement.,Lỗi khi thực hiện thỏa thuận thanh toán PayPal.
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Áp dụng bộ lọc để nhận được kết quả. Chỉ 100 bản ghi đầu tiên sẽ được hiển thị trong lưới, bạn sẽ có thể tải xuống phiên bản đầy đủ của báo cáo trong .csv format."
Transaction Type,Loại giao dịch
Payment Type,Hình thức thanh toán
PayPal Payment ID,ID thanh toán PayPal
Transaction ID,ID giao dịch
Settlement Code,Mã Quyết Toán
Settlement Response Text,Văn bản phản hồi quyết toán
Refund Ids,Ids Hoàn tiền
Settlement Batch ID,ID Lô hàng quyết toán
Month,Tháng
Year,Năm
Stored Card,Lưu chữ thẻ
Credit card successfully added,Đã thêm thẻ tín dụng thành công.
Something went wrong while saving the card.,Có lỗi xảy ra khi xử lý lưu thông tin thẻ.
Credit card does not exist,Thẻ tín dụng không tồn tại
Delete Credit Card,Xóa thẻ tín dụng
There was error deleting the credit card,Đã có lỗi xảy ra khi thực hiện xóa thẻ tín dụng
Credit card successfully deleted,Xóa thẻ thành công
Edit Credit Card,Thay đổi thông tin thẻ tín dụng
My Credit Cards,Thẻ tín dụng của tôi
New Credit Card,Thẻ tín dụng mới
There was error during saving card data,Đã có lỗi trong quá trình lưu dữ liệu thẻ
We can't place the order.,Không thể đặt thứ tự.
Incorrect payment method.,Phương thức thanh toán không chính xác.
We can't initialize checkout review.,Không thể khởi tạo kiểm tra đánh giá.
We can't update shipping method.,Không thể cập nhật các phương pháp vận chuyển.
"The processor declined your transaction, please re-enter your payment information","Phiên giao dịch của bạn bị quá thời gian, vui lòng nhập lại thông tin thanh toán"
Transaction declined by gateway: Check card details or try another card,Giao dịch bị từ chối bởi gateway: hãy kiểm tra lại chi tiết thẻ hoặc thử thẻ khác
Transaction declined: ,Giao dịch bị từ chối:
The processor responded with an unknown error,Đã xảy ra lỗi không xác định
Credit card type is not allowed for your country.,Loại thẻ tín dụng này không được phép sử dụng ở quốc gia của bạn.
Credit card type is not allowed for this payment method.,Loại thẻ tín dụng này không sử dụng được trong phương thức thanh toán này.
Selected payment type is not allowed for billing country.,Hình thức thanh toán này không sử dụng được trong quốc gia thanh toán.
Incomplete payment information.,Thông tin thanh toán chưa đầy đủ.
Please try again later,Hãy thử lại sau
Can not find original authorization transaction for partial capture,Không tìm thấy của giao dịch ủy quyền ban đầu cho phần này
There was an error capturing the transaction: %1.,Đã có lỗi trong khi ghi lại các giao dịch: %1.
This refund is for a partial amount but the Transaction has not settled.,"Phần hoàn trả này là dành cho một số thanh toán, nhưng các giao dịch không được giải quyết."
Please wait 24 hours before trying to issue a partial refund.,Hãy chờ 24 giờ trước khi để thực hiện hoàn trả lại một phần.
There was an error refunding the transaction: %1.,Đã có lỗi dịch giao dịch: %1.
Some transactions are already settled or voided and cannot be voided.,Một số giao dịch đã được thực hiện hoặc đã bị hủy nên không thể hủy bỏ được.
Voided capture.,Ghi lại phiếu khai khống.
There was an error voiding the transaction: %1.,Đã có lỗi trong giao dịch: %1.
Invoice,Hóa đơn
Shipment,Vận chuyển
Invalid Customer ID provided,ID khách hàng không hợp lệ
some error,có lỗi xảy ra
"a,b,c","a, b, c"
Something went wrong while processing.,Có thể có thông tin bị sai khi xử lý.
exception,ngoại lệ
Add new card,Thêm thẻ mới
Save this card for future use,Lưu thẻ để sử dụng sau này
Please confirm that you want to delete this credit card,Bạn muốn xóa thẻ tín dụng này
Cardholder Name,Tên chủ thẻ
* Required Fields,* Bắt buộc
CVV,CVV
Card Verification Number Visual Reference,Hình ảnh xác minh số thẻ
Make Default,Tạo mặc định
Address,Địa chỉ
"Please select region, state or province",Vui lòng chọn khu vực
Add Credit Card,Thêm thẻ tín dụng
An error occured with payment processing.,phát sinh vấn đề khi xử lý thanh toán.
Can not initialize PayPal (Braintree),Không thể khởi tạo PayPal (Braintree)
Capture action,Nắm bắt hành động
Use Vault,Sử dụng bảo mật
Allow Duplicate Cards,Cho phép bản sao thẻ
Enable Credit Card auto-detection on Storefront,Phép thẻ tín dụng tự động phát hiện trên Storefront
Your Kount ID,ID Kount của bạn
Use Cache,Sử dụng bộ nhớ đệm
Edit My Credit Cards,Chỉnh sửa thẻ tín dụng của tôi
Pay with PayPal,Thanh toán bằng PayPal
Transaction is cancelled offline.,Giao dịch bị hủy ngoại tuyến.
Braintree Settlement,Quyết toán Braintree
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Nếu bạn không chỉ định tài khoản người bán sẽ sử dụng để xử lý giao dịch, Braintree sẽ xử lý bằng tài khoản người bán mặc định của bạn."
Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section,Hãy chắc chắn kích hoạt bảo vệ gian lận nâng cao trong tài khoản Braintree ở mục cài đặt/xử lý
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Được sử dụng để gian lận trực tiếp công cụ tích hợp. Đảm bảo rằng bạn cũng liên hệ với <a href=""mailto:accounts@braintreepayments.com""> accounts@braintreepayments.com</a> để thiết lập tài khoản Kount của bạn."
Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.,Đảm bảo Bật AVS và / hoặc CVV trong Tài khoản Braintree của bạn trong Phần Cài đặt / Xử lý.
"It is recommended to set this value to ""PayPal"" per store views.","Giá trị này được khuyến khích để đặt vào ""PayPal"" để xem một cửa hàng."
This feature needs be enabled first for the merchant account through PayPal technical support.,Tính năng này cần được kích hoạt lần đầu tiên cho tài khoản thương gia thông qua PayPal hỗ trợ kỹ thuật.
Also affects mini-shopping cart.,Cũng ảnh hưởng đến giỏ hàng mua sắm mini.
Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase. The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition. Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected
The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters and the product descriptor can be up to 18
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","Giá trị trong trường số điện thoại của bảng sao kê của khách hàng. Điện thoại phải có 10-14 ký tự và chỉ được chứa số, dấu gạch ngang, dấu ngoặc đơn và dấu chấm câu."
The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.,Giá trị trong trường URL / địa chỉ web của tuyên bố của khách hàng. URL phải dài 13 ký tự hoặc ngắn hơn.
The Payment Token is not available to perform the request.,Mã thông báo thanh toán không có sẵn để thực hiện yêu cầu.
Checkout failed to initialize. Verify and try again.,Thanh Toán chưa thể hoạt động. Xác minh và thử lại.
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Đơn hàng chưa được đặt. Trước tiên, hãy đồng ý với các điều khoản và điều kiện, sau đó thử đặt hàng lại."
Coinbase account,Tài khoản Coinbase
Europe bank account,Tài khoản ngân hàng Châu Âu
Apple pay card,Thẻ thanh toán của Apple
Android pay card,Thẻ thanh toán Android
Authorization expired,Ủy quyền đã hết hạn
Authorizing,Ủy quyền
Gateway rejected,Gateway bị từ chối
Processor declined,Bộ xử lý bị từ chối
Settled,Settled
Settling,Settling
Submitted for settlement,Đã đệ trình để giải quyết
Voided,Voided
Unrecognized,Không được công nhận
Settlement declined,Thỏa thuận bị từ chối
Settlement pending,Đang chờ giải quyết
Settlement confirmed,Đã xác nhận dàn xếp
Sale,Bán
Credit,Tín dụng
 -- Select --, - Chọn -
Fixed,Cố định
Create New Option,Tạo lựa chọn mới
Add Products to Option,Thêm sản phẩm để lựa chọn
Delete Option,Xóa lựa chọn
What are you looking for?,Bạn đang tìm kiếm gì?
"There is no defined renderer for ""%1"" option type.","Không có trình kết xuất được xác định cho ""%1"" loại tùy chọn."
Only implemented for bundle product,Chỉ áp dụng cho sản phẩm kết hợp
"Product with specified sku: ""%1"" is not a bundle product","Sản phẩm được chỉ định mã sản phẩm: ""%1"" không phải là một sản phẩm gói"
Bundle product could not contain another composite product,Sản phẩm kết hợp không chứa sản phẩm hợp lại khác
Id field of product link is required,Yêu cầu liên kết vùng Id của sản phẩm
"Can not find product link with id ""%1""","Không thể tìm thấy liên kết sản phẩm với id ""%1"""
"Could not save child: ""%1""","Không thể lưu: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Sản phẩm với mã sản phẩm: ""%1"" không chứa tùy chọn: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Mã sản phẩm: ""%1"" đã được chỉ định cho sản phẩm: ""%2"""
Product with specified sku: %1 is not a bundle product,Sản phẩm với sku xác định: %1 không phải là một sản phẩm kết hợp
Requested bundle option product doesn't exist,Yêu cầu gói tùy chọn sản phẩm không tồn tại
%fieldName is a required field.,%fieldName là trường bắt buộc.
Requested option doesn't exist,Tùy chọn yêu cầu không tồn tại
Cannot delete option with id %1,Không thể xóa tùy chỉnh với id %1
Could not save option,Không thể lưu tùy chỉnh
Together,Cùng với
Separately,Riêng lẻ
Please specify product option(s).,Vui lòng xác định tùy chỉnh sản phẩm.
The options you selected are not available.,Tùy chỉnh bạn lựa chọn không tồn tại.
The required options you selected are not available.,Tùy chỉnh được yêu cầu bạn lựa chọn không tồn tại.
Please select all required options.,Vui lòng chọn tất cả các tùy chỉnh được yêu cầu.
Percent,Phần trăm
We can't save custom-defined options for bundles with dynamic pricing.,Chúng tôi không thể lưu tùy chỉnh xác định tùy chọn cho kết hợp với giá động.
New Option,Tùy chọn mới
Option Title,Tiêu đề tùy chọn
Default Title,Tiêu đề mặc định
Store View Title,Xem tiêu đề cửa hàng
Drop-down,Drop-down
Radio Buttons,Radio Buttons
Checkbox,Checkbox
Default Quantity,Số lượng mặc định
User Defined,Người dùng xác định
Quantity:,Số lượng:
Ship Bundle Items,Vận chuyển sản phẩm kết hợp
There are no products in this option.,Không có sản phẩm nào trong tùy chọn.
Invoiced,Đã lập hoá đơn
Canceled,Đã hủy bỏ
Buy %1 with %2 discount each,Mua %1 được %2 nhận chiết khấu mỗi loại
Product Name,Tên sản phẩm
Add Products to New Option,Thêm sản phẩm vào Tùy chọn mới
"Add Products to Option ""%1""","Thêm sản phẩm vào tùy chọn ""%1"""
This is implemented for bundle products only.,Điều này chỉ được triển khai cho các sản phẩm gói.
"The product with the ""%1"" SKU isn't a bundle product.","Sản phẩm với ""%1"" mã sản phẩm không phải là một sản phẩm gói."
The bundle product can't contain another composite product.,Sản phẩm gói không được chứa sản phẩm tổng hợp khác.
The product link needs an ID field entered. Enter and try again.,Liên kết sản phẩm cần nhập trường ID. Nhập và thử lại.
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","Không tìm thấy liên kết sản phẩm với trường ID ""%1 "". Xác minh ID và thử lại."
The bundle product doesn't exist. Review your request and try again.,Sản phẩm gói không tồn tại. Xem lại yêu cầu của bạn và thử lại.
The option that was requested doesn't exist. Verify the entity and try again.,Tùy chọn đã được yêu cầu không tồn tại. Xác minh thực thể và thử lại.
The option couldn't be saved.,Không thể lưu tùy chọn.
"The option with ""%1"" ID can't be deleted.","Không thể xóa tùy chọn có ID ""%1"" ."
"""option_id"" and ""parent_id"" values should be specified","""option_id"" và ""parent_id"" nên được chỉ định giá trị"
"""sku"" value should be specified","""sku"" giá trị nên được chỉ định"
Unique constraint violation found,Đã tìm thấy vi phạm ràng buộc duy nhất
After number of attempts to login,Sau khi số lần thử đăng nhập
Provided form does not exist,Mẫu Cung cấp không tồn tại
Incorrect CAPTCHA,CAPTCHA Không chính xác
Incorrect CAPTCHA.,CAPTCHA Không chính xác.
The account is locked. Please wait and try again or contact %1.,Tài khoản bị khóa. Hãy chờ và thử lại hoặc liên hệ với %1.
Please enter the letters and numbers from the image,Vui lòng nhập các chữ cái và số từ hình ảnh
Attention: Captcha is case sensitive.,Chú ý: Các Captcha là trường hợp nhạy cảm.
CAPTCHA,CAPTCHA
Enable CAPTCHA in Admin,Cho phép CAPTCHA trong Admin
Forms,Mẫu đơn
Displaying Mode,Chế độ hiển thị
Number of Unsuccessful Attempts to Login,Số lượng các nỗ lực không thành công để đăng nhập
"If 0 is specified, CAPTCHA on the Login form will be always available.","Nếu 0 được chỉ định, CAPTCHA trên đăng nhập sẽ luôn luôn có sẵn."
CAPTCHA Timeout (minutes),Thời gian chờ CAPTCHA (phút)
Number of Symbols,Số các biểu tượng
Please specify 8 symbols at the most. Range allowed (e.g. 3-5),Vui lòng xác định 8 biểu tượng trong phần lớn. Phạm vi cho phép (ví dụ: 3-5)
Symbols Used in CAPTCHA,Biểu tượng được sử dụng trong CAPTCHA
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Vui lòng chỉ sử dụng các chữ cái (a-z hoặc A-Z) hoặc số (0-9) trong trường này. Không cho phép dấu cách hoặc các ký tự khác.<br />Các ký tự trông giống nhau (ví dụ: ""i"", ""l"", ""1"") làm giảm cơ hội được khách hàng nhận ra chính xác."
Case Sensitive,Trường hợp nhạy cảm
Enable CAPTCHA on Storefront,Cho phép CAPTCHA trên Storefront
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA cho hình thức ""tạo người dùng"" và ""Quên mật khẩu"" luôn luôn được kích hoạt nếu được lựa chọn."
Please enter the letters from the image,Vui lòng nhập các ký tự từ hình ảnh
Use Config Settings,Sử dụng cấu hình cài đặt
Use All Available Attributes,Sử dụng tất cả các thuộc tính có sẵn
Day,Ngày
"<label class=""label""><span>from</span></label>","<label class=""label""> <span>từ</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""> <span>đến</span></label>"
Add Product,Thêm sản phẩm
Save in New Attribute Set,Lưu trong thiết lập thuộc tính mới
"Edit Product Attribute ""%1""","Chỉnh sửa thuộc tính sản phẩm ""%1"""
New Product Attribute,Thuộc tính sản phẩm mới
This is used internally. Make sure you don't use spaces or more than %1 symbols.,Điều này sử dụng nội bộ. Hãy chắc chắn bạn không sử dụng dấu cách hoặc nhiều biểu tượng hơn %1.
Unique Value,Giá trị duy nhất
Unique Value (not shared with other products),Giá trị duy nhất (không được chia sẻ với các sản phẩm khác)
Input Validation for Store Owner,Xác nhận được nhập cho các chủ cửa hàng
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Chọn ""Có"" để thêm thuộc tính này vào danh sách các cột tùy chọn trong mạng lưới sản phẩm."
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Chọn ""Có"" để thêm thuộc tính này vào danh sách tùy chọn lọc trong mạng lưới sản phẩm."
Scope,Trang hiển thị
Media Image,Phương tiện truyền thông hình ảnh
System Properties,Thuộc tính hệ thống
Data Type for Saving in Database,Kiểu dữ liệu để lưu trong cơ sở dữ liệu
Text,Nội dung
Varchar,Varchar
Static,Tĩnh
Datetime,Ngày
Decimal,Thập phân
Integer,Số nguyên
Globally Editable,Có thể chỉnh sửa trên toàn cầu
Visible,Thấy được
Searchable,Có thể tìm kiếm
Comparable,Có thể so sánh
Delete Selected Group,Xoá nhóm đã chọn
You are about to delete all products in this attribute set. Are you sure you want to do that?,Bạn đang định xóa bỏ tất cả các sản phẩm trong này thiết lập thuộc tính. Bạn có chắc bạn muốn làm điều đó?
New Set Name,đặt tên mới
Edit Attribute Set '%1',Chỉnh sửa thiết lập thuộc tính '%1'
Add Group,Thêm nhóm
Edit Attribute Set Name,Chỉnh sửa thuộc tính đặt tên
Based On,Dựa trên
Add New Attribute Set,Thêm thiết lập thuộc tính mới
Add Attribute Set,Thêm thuộc tính thiết lập
Attribute Sets,Thiết lập thuộc tính
New Product,Sản phẩm mới
Save & Edit,Lưu & chỉnh sửa
Save & New,Lưu & mới
Advanced Inventory,Nâng cấp kho hàng
Products Information,Thông tin sản phẩm
Create Category,Tạo mục lục
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Nếu không có mục lục cha. Hãy sử dụng các mục lục cha mặc định. Bạn có thể gán các loại tại bất kỳ thời điểm nào trong <a href=""%1"" target=""_blank""> Products > Categoriesi</a>."
Price Alert Subscriptions,Đăng ký báo giá
